Date,Open,High,Low,Close,Volume,OpenInt
2005-08-08,17.244,17.244,17.051,17.076,4283,0
2005-08-09,17.019,17.058,17.019,17.058,273976,0
2005-08-10,17.16,17.16,17.113,17.113,777,0
2005-08-11,17.47,17.49,17.437,17.453,143185,0
2005-08-12,17.793,17.916,17.368,17.429,5446,0
2005-08-15,17.568,17.568,17.313,17.383,2640,0
2005-08-16,17.568,17.568,17.207,17.207,4085,0
2005-08-18,16.89,16.937,16.883,16.929,6224,0
2005-08-22,16.781,17.174,16.781,17.097,4571,0
2005-08-23,17.313,17.313,16.999,17.013,10788,0
2005-08-24,16.944,16.944,16.929,16.929,3723,0
2005-08-26,16.772,17.122,16.772,16.79,3697,0
2005-08-29,16.764,16.822,16.751,16.822,2417,0
2005-08-30,16.737,16.737,16.737,16.737,543,0
2005-08-31,16.89,17.089,16.89,17.089,9922,0
2005-09-01,17.313,17.368,17.313,17.368,2882,0
2005-09-02,17.391,17.446,17.391,17.429,10704,0
2005-09-06,17.639,17.639,17.56,17.594,4124,0
2005-09-07,17.746,17.746,17.522,17.568,7256,0
2005-09-08,17.552,17.552,17.461,17.483,6340,0
2005-09-09,17.568,17.639,17.568,17.639,3034,0
2005-09-12,17.623,17.623,17.429,17.453,3934,0
2005-09-13,17.446,17.446,17.284,17.313,8750,0
2005-09-14,17.376,17.406,17.376,17.406,777,0
2005-09-15,17.429,17.453,17.32,17.32,8172,0
2005-09-16,17.537,17.537,17.344,17.437,13525,0
2005-09-19,17.328,17.328,17.289,17.32,8327,0
2005-09-20,17.352,17.36,17.253,17.253,1559,0
2005-09-21,17.298,17.298,17.221,17.221,4454,0
2005-09-22,17.067,17.154,17.067,17.113,13485,0
2005-09-23,17.213,17.213,17.051,17.146,3536,0
2005-09-26,17.13,17.305,17.13,17.305,2870,0
2005-09-27,17.528,17.528,17.165,17.213,16601,0
2005-09-28,17.36,17.376,17.36,17.376,832,0
2005-09-29,17.483,17.483,17.276,17.429,3606,0
2005-09-30,17.506,17.506,17.36,17.368,13336,0
2005-10-04,17.344,17.344,17.313,17.313,12066,0
2005-10-05,17.453,17.453,17.198,17.207,1714,0
2005-10-07,17.122,17.122,17.081,17.113,5958,0
2005-10-10,16.974,17.076,16.974,16.991,6224,0
2005-10-11,17.138,17.138,16.958,16.967,13777,0
2005-10-12,16.844,16.844,16.814,16.814,1750,0
2005-10-13,16.704,16.704,16.558,16.627,14303,0
2005-10-14,16.744,16.897,16.72,16.897,5958,0
2005-10-17,16.798,16.814,16.79,16.814,4722,0
2005-10-18,16.643,16.643,16.643,16.643,389,0
2005-10-19,16.281,16.658,16.281,16.658,11266,0
2005-10-20,16.519,16.519,16.359,16.359,2722,0
2005-10-21,16.38,16.38,16.343,16.343,777,0
2005-10-24,16.527,16.558,16.527,16.551,119087,0
2005-10-25,16.704,16.728,16.634,16.634,37945,0
2005-10-26,16.674,16.737,16.605,16.605,8984,0
2005-10-27,16.582,16.582,16.558,16.558,2722,0
2005-10-28,16.627,16.627,16.627,16.627,1750,0
2005-10-31,17.067,17.067,16.764,16.805,8964,0
2005-11-02,16.611,17.036,16.611,17.036,3389,0
2005-11-03,17.076,17.113,17.036,17.081,47336,0
2005-11-04,16.912,16.912,16.903,16.903,3232,0
2005-11-07,16.883,16.883,16.859,16.867,4283,0
2005-11-08,17.019,17.019,16.836,16.89,9802,0
2005-11-09,16.967,16.967,16.805,16.89,4684,0
2005-11-10,16.798,16.867,16.758,16.867,2743,0
2005-11-11,17.13,17.13,16.844,16.897,3706,0
2005-11-14,16.897,16.897,16.875,16.875,4387,0
2005-11-15,16.737,16.751,16.737,16.744,2546,0
